"company","AIC_LuS_lag2","AIC_LuS_lag3","AIC_LuS_lag4","AIC_Xetra_lag2","AIC_Xetra_lag3","AIC_Xetra_lag4","BIC_LuS_lag2","BIC_LuS_lag3","BIC_LuS_lag4","BIC_Xetra_lag2","BIC_Xetra_lag3","BIC_Xetra_lag4","Lag_min_AIC_LuS","Lag_min_AIC_Xetra","Lag_min_BIC_LuS","Lag_min_BIC_Xetra"
"Fresenius",3251.89322112709,3253.86748391913,3249.67801488556,3253.66516821918,3256.26855172122,3252.94088230376,3277.58358629731,3289.83399515744,3295.92067219196,3279.3555333894,3292.23506295953,3299.18353961016,3,3,1,1
"FreseniusMedicalCare",3927.27432800593,3924.52871514252,3927.7676686669,3862.7274969424,3862.85222407798,3863.76073587724,3952.96469317616,3960.49522638083,3974.0103259733,3888.41786211262,3898.81873531629,3910.00339318364,2,1,1,1
"HeidelbergCement",3794.19261267541,3795.04147856639,3792.48173171139,3724.77909502715,3725.95243084968,3725.18783088413,3819.88297784563,3831.00798980471,3838.72438901779,3750.46946019737,3761.91894208799,3771.43048819053,3,1,1,1
"HelloFresh",3644.09201654842,3646.81074303906,3634.66126335226,3571.30297163114,3573.58573697298,3559.97936767613,3668.86043760278,3681.48653251515,3679.24442125009,3596.0713926855,3608.26152644907,3604.56252557396,3,3,1,1
"Henkel",4053.26038982086,4053.06735017425,4054.21839003383,3962.96818344244,3964.69073868158,3966.65941175369,4078.95075499108,4089.03386141257,4100.46104734023,3988.65854861266,4000.65724991989,4012.90206906008,2,1,1,1
"Infineon",1950.88096019505,1952.25186565247,1949.66897380991,1875.9443921032,1877.22090768665,1874.66462593319,1976.57132536528,1988.21837689078,1995.91163111631,1901.63475727342,1913.18741892496,1920.90728323959,3,3,1,1
"Linde",4049.19446861219,4043.45420255827,4041.52934703264,3924.05101570698,3916.36116224441,3916.07462483773,4072.58617918546,4076.20259736085,4083.63442606453,3947.44272628025,3949.10955704699,3958.17970386962,3,3,1,1
"Merck",5001.9110928926,4999.243164368,5000.86770371296,4949.40214028735,4950.37768072566,4952.7872128484,5027.60145806282,5035.20967560631,5047.11036101936,4975.09250545757,4986.34419196398,4999.0298701548,2,1,1,1
"MTU",7005.17324004266,7008.87890810117,7010.25783138873,6992.92836953913,6995.56955824405,6997.0634644824,7030.86360521288,7044.84541933948,7056.50048869513,7018.61873470935,7031.53606948236,7043.3061217888,1,1,1,1
"MunichRe",6689.94215457441,6690.13616962448,6688.32468828871,6651.2869293021,6651.31001461894,6653.45252520099,6715.63251974463,6726.1026808628,6734.56734559511,6676.97729447233,6687.27652585725,6699.69518250739,3,1,1,1
"Porsche",4181.26011907074,4179.00077979789,4180.89856500965,4105.03311062549,4104.9386693261,4108.55531452504,4206.95048424096,4214.9672910362,4227.14122231605,4130.72347579571,4140.90518056441,4154.79797183144,2,2,1,1
"Puma",4197.56931341527,4201.49031478139,4205.00603069741,4088.57636705424,4089.94821834258,4092.57566182614,4223.25967858549,4237.4568260197,4251.24868800381,4114.26673222446,4125.91472958089,4138.81831913254,1,1,1,1
"Qiagen",2235.16103371238,2238.51671051062,2241.55177183621,1992.98236931137,1996.22607150833,1999.60176678538,2260.8513988826,2274.48322174893,2287.79442914261,2018.67273448159,2032.19258274664,2045.84442409177,1,1,1,1
"RWE",1731.444306247,1717.04351145104,1705.99569534264,1674.19150273596,1663.73872111878,1656.83224908172,1757.13467141722,1753.01002268935,1752.23835264904,1699.88186790619,1699.70523235709,1703.07490638812,3,3,3,2
"SAP",5097.3418965131,5092.54203475202,5089.2857304673,5009.70755374441,5003.07032574255,5000.01365291527,5123.03226168333,5128.50854599033,5135.5283877737,5035.39791891463,5039.03683698086,5046.25631022167,3,3,1,1
"Sartorius",8875.54909597637,8874.4892918889,8875.83885928875,8823.37558120863,8825.93509297046,8829.09267171193,8901.23548816267,8910.45024094972,8922.07436522409,8849.06197339493,8861.89604203128,8875.32817764727,2,1,1,1
"Siemens",4939.23853200782,4941.99249484461,4937.37931378613,4959.74351603359,4961.72514360688,4959.3295609388,4964.92889717804,4977.95900608292,4983.62197109253,4985.43388120381,4997.69165484519,5005.5722182452,3,3,1,1
"Symrise",4072.16409264911,4067.06806635815,4068.95662035631,3897.5486247822,3899.27277719449,3899.0638341145,4097.85445781933,4103.03457759646,4115.19927766271,3923.23898995242,3935.2392884328,3945.3064914209,2,1,1,1
"Volkswagen",6548.90585017051,6551.39049266123,6553.70061935201,6487.6174403904,6491.22926466585,6493.69017143602,6574.59621534073,6587.35700389954,6599.94327665841,6513.30780556062,6527.19577590416,6539.93282874242,1,1,1,1
"Vonovia",2346.84529802696,2341.08867819468,2333.68113414473,2307.2672651965,2305.61639495621,2299.66913395265,2372.53566319719,2377.05518943299,2379.92379145113,2332.95763036672,2341.58290619452,2345.91179125905,3,3,1,1
"Zalando",4277.77265568381,4280.23321526221,4284.10361962905,4193.05826437664,4193.3299132367,4196.87202675847,4303.46302085404,4316.19972650052,4330.34627693545,4218.74862954686,4229.29642447501,4243.11468406487,1,1,1,1
"AMC",3112.3427215916,3115.56422693438,3113.65663444738,2838.1083961613,2838.63952442541,2826.87373470832,3135.88314201087,3148.52081552136,3156.02939120206,2861.64881658057,2871.59611301238,2869.24649146299,1,3,1,1
"GameStop",8837.08213957283,8748.54467685659,8710.54866910225,7810.14773082761,7746.07253925361,7695.45632147795,8862.77250474305,8784.5111880949,8756.79132640865,7835.83809599784,7782.03905049192,7741.69897878435,3,3,3,3
"Tesla",9947.25457872497,9941.96134820075,9920.47031836238,9344.02980683658,9343.54253159531,9325.2751444774,9972.94494389519,9977.92785943906,9966.71297566878,9369.7201720068,9379.50904283362,9371.5178017838,3,3,3,1
