"rnames","rep(c(""pre"", ""post""), 41)","1","2","3","4"
"EON","pre",0.605038683563633,0.605038683563633,0.340148182534725,0.340148182534726
"EON","post",0.781681410653506,0.781681410653506,0.211076902642694,0.211076902642694
"Fresenius","pre",1.19931664086572,1.19931664086572,-0.215450382277752,-0.215450382277752
"Fresenius","post",0.0496672201903353,0.0496672201903353,0.870686632722085,0.870686632722085
"FreseniusMedicalCare","pre",0.69133947155523,0.69133947155523,0.286316510057007,0.286316510057007
"FreseniusMedicalCare","post",0.879274710303124,0.879274710303125,0.143581233872817,0.143581233872817
"HeidelbergCement","pre",0.530073795453146,0.530073795453146,0.426479077506384,0.426479077506384
"HeidelbergCement","post",0.379510222005963,0.379510222005964,0.578342384034193,0.578342384034193
"HelloFresh","pre",0.743121227436081,0.743121227436082,0.165108238501356,0.165108238501356
"HelloFresh","post",0.754028511432409,0.754028511432409,0.188436785785148,0.188436785785148
"Henkel","pre",0.550148011759682,0.550148011759682,0.418385712501769,0.418385712501769
"Henkel","post",0.67423811602797,0.67423811602797,0.410461155795547,0.410461155795547
"Infineon","pre",0.561275121135009,0.561275121135009,0.400246103778248,0.400246103778248
"Infineon","post",0.621313198186975,0.621313198186975,0.482280380342896,0.482280380342896
"Linde","pre",1.6776313733093,1.6776313733093,-0.562519563507881,-0.562519563507881
"Linde","post",0.89540574966828,0.895405749668281,0.280364733174811,0.280364733174811
"Merck","pre",1.16507623884133,1.16507623884133,-0.146136820508481,-0.146136820508481
"Merck","post",0.368267363453164,0.368267363453164,0.701426252586265,0.701426252586265
"MTU","pre",1.14799530571008,1.14799530571008,-0.0482834391338596,-0.0482834391338596
"MTU","post",0.83676052596266,0.83676052596266,0.116717999379381,0.116717999379381
"MunichRe","pre",0.920031597808528,0.920031597808528,0.153995181967576,0.153995181967576
"MunichRe","post",0.752777101636651,0.752777101636651,0.251235514517351,0.251235514517351
"Porsche","pre",0.292368149303525,0.292368149303525,0.618352069997227,0.618352069997227
"Porsche","post",0.33929768869969,0.33929768869969,0.594545212087707,0.594545212087708
"Puma","pre",0.578815479858771,0.578815479858771,0.462146633542775,0.462146633542775
"Puma","post",0.81229778544242,0.81229778544242,0.200684052546764,0.200684052546764
"Qiagen","pre",1.3716040602931,1.3716040602931,-0.405897148026321,-0.405897148026321
"Qiagen","post",0.730049590995143,0.730049590995143,0.255036819698105,0.255036819698105
"RWE","pre",0.388851579622979,0.388851579622979,0.593205166368454,0.593205166368454
"RWE","post",0.373434664844199,0.373434664844199,0.659609479928278,0.659609479928278
"SAP","pre",0.8734120398465,0.8734120398465,0.15878368222151,0.15878368222151
"SAP","post",0.700040653719796,0.700040653719796,0.401838964793187,0.401838964793187
"Sartorius","pre",0.858691219115281,0.858691219115281,0.206023592092879,0.206023592092879
"Sartorius","post",-0.214432422043674,-0.214432422043674,1.18547159329595,1.18547159329595
"Siemens","pre",0.663048226637051,0.663048226637051,0.280487090701359,0.280487090701359
"Siemens","post",0.54373334295858,0.54373334295858,0.474796775888193,0.474796775888193
"Symrise","pre",0.540277634947113,0.540277634947113,0.467046829527822,0.467046829527822
"Symrise","post",0.372449915504041,0.372449915504041,0.70315911570403,0.70315911570403
"Volkswagen","pre",0.315068914366366,0.315068914366366,0.631874443126021,0.631874443126021
"Volkswagen","post",0.461001158200067,0.461001158200067,0.489046849217899,0.489046849217899
"Vonovia","pre",0.366831108957537,0.366831108957538,0.636023906377127,0.636023906377127
"Vonovia","post",0.847263341401051,0.847263341401051,0.267873621019643,0.267873621019643
"Zalando","pre",1.10062324243946,1.10062324243946,-0.134450376927984,-0.134450376927984
"Zalando","post",0.590990138432288,0.590990138432288,0.463565961430777,0.463565961430777
"AMC","pre",1.04736213956929,1.04736213956929,-0.0434392357559733,-0.0434392357559733
"AMC","post",0.981839107044863,0.981839107044863,0.29517872054033,0.29517872054033
"GameStop","pre",1.21513229913365,1.21513229913365,-0.149575903796286,-0.149575903796286
"GameStop","post",0.735263369094061,0.735263369094062,0.228039146573851,0.228039146573851
"Tesla","pre",1.62237537082481,1.62237537082481,-0.472477021781956,-0.472477021781956
"Tesla","post",1.03341941994728,1.03341941994728,-0.0490046850403932,-0.0490046850403932
